2022-09-08 21-26-27    cost_time: 40s
1, a range of , 2/1            , 一系列的
2, ancestor , 1/0            , 祖先
3, bad taste , 1/0            , 不好的味道
4, breakthrough , 1/0            , 突破
5, inferior , 1/0            , 劣质
6, kill off , 1/0            , 杀死
7, market cycle , 1/0            , 市场周期
8, outlive , 1/0            , 比
9, press for , 1/0            , 要求
10, reference , 1/0            , 参考
11, yes , 1/0            , 是的
2022-09-08 21-30-20    cost_time: 48s
1, a range of , 2,0            , 一系列的
2, ancestor , 2,0            , 祖先
3, bad taste , 1,0            , 不好的味道
4, breakthrough , 1,0            , 突破
5, inferior , 1,0            , 劣质
6, kill off , 1,0            , 杀死
7, market cycle , 1,0            , 市场周期
8, outlive , 1,0            , 比
9, press for , 1,0            , 要求
10, reference , 1,0            , 参考
11, yes , 1,0            , 是的
2022-09-08 21-32-36    cost_time: 56s
1, a range of , 2,0            , 一系列的
2, ancestor , 1,3            , 祖先
3, bad taste , 1,0            , 不好的味道
4, breakthrough , 1,0            , 突破
5, inferior , 1,0            , 劣质
6, kill off , 1,0            , 杀死
7, market cycle , 1,0            , 市场周期
8, outlive , 1,0            , 比
9, press for , 1,0            , 要求
10, reference , 1,0            , 参考
11, yes , 1,0            , 是的

2022-09-08 21-51-41    cost_time: 9s
1, a range of , 1,0            , 一系列的
2, ancestor , 0,0            , 祖先
3, bad taste , 0,0            , 不好的味道
4, breakthrough , 0,0            , 突破
5, inferior , 0,0            , 劣质
6, kill off , 0,0            , 杀死
7, market cycle , 0,0            , 市场周期
8, outlive , 0,0            , 比
9, press for , 0,0            , 要求
10, reference , 0,0            , 参考
11, yes , 0,0            , 是的
2022-09-21 22-51-43    cost_time: 49s
1, a range of , 1,0            , 一系列的
2, ancestor , 1,0            , 祖先
3, bad taste , 1,0            , 不好的味道
4, breakthrough , 1,0            , 突破
5, inferior , 1,0            , 劣质
6, kill off , 1,0            , 杀死
7, market cycle , 1,0            , 市场周期
8, outlive , 1,0            , 比
9, press for , 1,0            , 要求
10, reference , 1,0            , 参考
11, yes , 1,0            , 是的
